date,open,high,low,close,volume,amount,price_type
2019-01-02,38.740,39.080,36.020,36.070,160394.000,,raw
2019-01-03,36.180,36.670,35.820,36.090,102433.000,,raw
2019-01-04,36.500,37.660,36.150,37.630,117691.000,,raw
2019-01-07,37.950,38.080,37.050,38.050,95056.000,,raw
2019-01-08,37.810,38.900,37.550,38.300,79268.000,,raw
2019-01-09,38.450,39.500,38.320,38.450,102658.000,,raw
2019-01-10,38.200,38.460,37.100,37.350,99838.000,,raw
2019-01-11,37.370,37.750,37.100,37.680,54230.000,,raw
2019-01-14,37.700,37.700,34.890,35.300,199017.000,,raw
2019-01-15,35.260,36.530,35.080,36.490,107366.000,,raw
2019-01-16,36.710,38.100,36.510,37.460,125707.000,,raw
2019-01-17,37.400,37.700,36.500,37.260,84937.000,,raw
2019-01-18,37.490,38.450,37.100,38.080,97146.000,,raw
2019-01-21,38.230,39.100,37.790,38.190,100046.000,,raw
2019-01-22,38.120,38.270,36.840,37.310,79938.000,,raw
2019-01-23,37.060,37.250,36.530,37.010,53323.000,,raw
2019-01-24,37.060,37.300,35.970,36.900,81549.000,,raw
2019-01-25,36.980,37.170,36.670,36.840,60979.000,,raw
2019-01-28,37.170,37.490,36.450,36.840,65121.000,,raw
2019-01-29,36.870,37.350,35.900,36.250,92031.000,,raw
2019-01-30,36.250,36.420,34.740,34.890,139484.000,,raw
2019-01-31,35.070,35.120,33.960,34.300,102543.000,,raw
2019-02-01,34.630,36.900,34.450,36.740,153504.000,,raw
2019-02-11,36.400,37.960,35.900,37.710,147788.000,,raw
2019-02-12,37.900,39.500,37.780,38.920,169998.000,,raw
2019-02-13,39.300,39.500,38.700,39.130,161909.000,,raw
2019-02-14,39.150,40.120,39.010,39.630,104066.000,,raw
2019-02-15,39.300,39.770,39.100,39.240,91173.000,,raw
2019-02-18,39.800,41.260,39.800,41.030,137457.000,,raw
2019-02-19,41.410,41.720,39.960,40.350,122474.000,,raw
2019-02-20,40.050,40.550,39.330,39.900,98741.000,,raw
2019-02-21,39.760,40.790,39.700,39.860,109595.000,,raw
2019-02-22,39.670,40.190,38.660,39.750,131149.000,,raw
2019-02-25,40.300,42.650,40.050,42.420,183496.000,,raw
2019-02-26,42.800,46.000,42.800,43.630,251016.000,,raw
2019-02-27,43.930,44.800,42.940,43.520,172133.000,,raw
2019-02-28,44.110,45.190,44.000,44.440,152230.000,,raw
2019-03-01,45.020,46.170,44.520,45.960,179576.000,,raw
2019-03-04,46.470,47.290,45.600,45.980,213416.000,,raw
2019-03-05,45.430,46.290,45.280,45.990,125980.000,,raw
2019-03-06,45.960,46.170,44.520,45.000,180669.000,,raw
2019-03-07,45.500,46.280,44.330,44.990,177203.000,,raw
2019-03-08,44.000,46.150,43.500,44.140,191551.000,,raw
2019-03-11,44.300,47.140,44.300,46.780,201806.000,,raw
2019-03-12,47.100,47.340,46.010,46.790,182059.000,,raw
2019-03-13,46.950,49.860,46.510,48.920,245178.000,,raw
2019-03-14,48.500,49.270,46.520,47.660,171642.000,,raw
2019-03-15,47.760,49.860,47.760,48.990,144842.000,,raw
2019-03-18,48.820,51.800,48.810,50.970,199224.000,,raw
2019-03-19,50.600,51.350,50.390,51.000,107505.000,,raw
2019-03-20,50.900,51.180,48.610,49.730,139589.000,,raw
2019-03-21,49.260,49.920,49.060,49.500,81170.000,,raw
2019-03-22,49.400,49.770,48.480,49.510,92604.000,,raw
2019-03-25,48.900,50.300,48.320,48.400,127252.000,,raw
2019-03-26,48.900,49.330,48.000,48.390,93224.000,,raw
2019-03-27,48.800,50.140,48.300,49.880,138056.000,,raw
2019-03-28,49.950,49.950,48.480,48.570,90051.000,,raw
2019-03-29,48.580,51.370,48.330,51.100,167812.000,,raw
2019-04-01,52.430,53.000,51.210,51.610,175829.000,,raw
2019-04-02,46.950,48.000,46.450,46.450,359957.000,,raw
2019-04-03,47.000,48.170,46.730,47.960,470181.000,,raw
2019-04-04,48.200,48.200,44.200,45.690,490108.000,,raw
2019-04-08,46.260,46.260,44.660,45.420,306012.000,,raw
2019-04-09,44.950,45.900,44.760,45.750,173496.000,,raw
2019-04-10,45.580,46.900,45.300,46.010,196589.000,,raw
2019-04-11,45.810,46.160,44.460,44.700,201632.000,,raw
2019-04-12,44.710,44.950,43.600,44.050,148290.000,,raw
2019-04-15,44.530,44.830,44.100,44.260,122282.000,,raw
2019-04-16,44.080,45.450,44.060,45.430,166086.000,,raw
2019-04-17,45.130,45.400,44.710,44.960,117469.000,,raw
2019-04-18,44.920,45.320,44.700,45.030,75090.000,,raw
2019-04-19,45.090,45.150,44.290,44.550,97765.000,,raw
2019-04-22,44.710,44.880,44.300,44.780,95115.000,,raw
2019-04-23,45.400,45.400,44.600,45.000,97338.000,,raw
2019-04-24,45.020,45.180,44.370,44.990,77312.000,,raw
2019-04-25,44.850,45.490,44.460,44.460,103911.000,,raw
2019-04-26,44.700,45.280,44.330,44.800,93044.000,,raw
2019-04-29,45.220,46.000,44.820,45.420,152009.000,,raw
2019-04-30,45.120,45.780,42.200,43.100,227444.000,,raw
2019-05-06,41.790,41.800,39.990,40.180,180199.000,,raw
2019-05-07,40.650,41.440,39.850,40.560,120063.000,,raw
2019-05-08,39.540,40.940,39.400,40.090,81526.000,,raw
2019-05-09,39.800,40.130,39.300,39.470,74522.000,,raw
2019-05-10,39.730,40.380,39.250,40.280,125687.000,,raw
2019-05-13,40.080,40.170,39.820,39.960,65273.000,,raw
2019-05-14,40.180,40.240,39.610,40.100,87134.000,,raw
2019-05-15,40.460,41.250,40.130,41.230,127182.000,,raw
2019-05-16,41.300,45.350,40.820,45.350,304386.000,,raw
2019-05-17,45.000,45.000,42.890,43.050,217770.000,,raw
2019-05-20,43.050,43.800,41.580,42.780,134173.000,,raw
2019-05-21,42.930,43.710,42.580,42.710,130123.000,,raw
2019-05-22,42.710,42.720,41.380,41.780,122294.000,,raw
2019-05-23,41.550,41.550,39.480,39.720,138041.000,,raw
2019-05-24,39.900,40.380,39.500,39.850,75030.000,,raw
2019-05-27,40.100,40.720,39.370,40.550,83335.000,,raw
2019-05-28,40.500,41.700,40.270,41.700,100296.000,,raw
2019-05-29,40.850,41.160,40.700,40.850,68958.000,,raw
2019-05-30,40.430,40.430,39.920,40.290,53003.000,,raw
2019-05-31,40.390,41.010,40.030,40.310,56281.000,,raw
2019-06-03,40.600,40.950,40.110,40.370,63992.000,,raw
2019-06-04,40.100,40.560,39.850,39.980,62406.000,,raw
2019-06-05,40.410,40.460,36.010,37.080,177454.000,,raw
2019-06-06,37.130,38.050,37.130,37.430,78423.000,,raw
2019-06-10,37.500,37.510,36.300,36.500,110037.000,,raw
2019-06-11,36.410,38.000,36.280,37.810,92709.000,,raw
2019-06-12,37.900,38.200,37.440,37.780,68821.000,,raw
2019-06-13,37.680,37.750,36.810,37.390,70324.000,,raw
2019-06-14,37.940,38.750,37.650,37.800,90589.000,,raw
2019-06-17,38.070,38.700,37.670,38.350,63088.000,,raw
2019-06-18,38.330,40.250,37.720,39.690,124871.000,,raw
2019-06-19,40.620,41.170,40.000,40.100,100906.000,,raw
2019-06-20,39.880,41.380,39.880,41.010,84925.000,,raw
2019-06-21,41.940,42.380,41.460,42.000,115381.000,,raw
2019-06-24,41.500,41.780,40.930,41.350,57430.000,"{'nd': '2018', 'fh_sh': '5', 'djr': '2019-06-21', 'cqr': '2019-06-24', 'FHcontent': '10派5元'}",raw
2019-06-25,41.110,42.500,40.630,42.340,106524.000,,raw
2019-06-26,41.990,43.060,41.590,42.430,75117.000,,raw
2019-06-27,42.310,43.350,42.310,42.820,61409.000,,raw
2019-06-28,42.960,43.580,42.600,43.100,69337.000,,raw
2019-07-01,44.630,44.810,44.000,44.450,161219.000,,raw
2019-07-02,44.200,44.910,44.010,44.490,161539.000,,raw
2019-07-03,45.140,45.540,44.510,44.760,153509.000,,raw
